ID,CITY,POPULATION,STATE
152.0,Bihar Sharif,296889,Bihar
153.0,Panipat,294150,Haryana
154.0,Darbhanga,294116,Bihar
155.0,Bally,291972,West Bengal
156.0,Aizawl,291822,Mizoram
157.0,Dewas,289438,Madhya Pradesh
158.0,Ichalkaranji,287570,Maharashtra
159.0,Karnal,286974,Haryana
160.0,Bathinda,285813,Punjab
161.0,Jalna,285349,Maharashtra
162.0,Eluru,283648,Andhra Pradesh
163.0,Kirari Suleman Nagar,282598,Delhi
164.0,Barasat,283443,West Bengal
165.0,Purnia,280547,Bihar
166.0,Satna,280248,Madhya Pradesh
167.0,Mau,279060,Uttar Pradesh
168.0,Sonipat,277053,Haryana
169.0,Farrukhabad,275750,Uttar Pradesh
170.0,Sagar,273357,Madhya Pradesh
171.0,Rourkela,273217,Odisha
172.0,Durg,268679,Chhattisgarh
173.0,Imphal,264986,Manipur
174.0,Ratlam,264810,Madhya Pradesh
175.0,Hapur,262801,Uttar Pradesh
176.0,Arrah,261099,Bihar
177.0,Karimnagar,260899,Telangana
178.0,Anantapur,261004,Andhra Pradesh
179.0,Etawah,256838,Uttar Pradesh
180.0,Ambernath,254003,Maharashtra
181.0,North Dumdum,253625,West Bengal
182.0,Bharatpur,252109,Rajasthan
183.0,Begusarai,251136,Bihar
184.0,New Delhi,249998,Delhi
185.0,Gandhidham,248705,Gujarat
186.0,Baranagar,248466,West Bengal
187.0,Tiruvottiyur,248059,Tamil Nadu
188.0,Pondicherry,241773,Puducherry
189.0,Sikar,237579,Rajasthan
190.0,Thoothukudi,237374,Tamil Nadu
191.0,Rewa,235422,Madhya Pradesh
192.0,Mirzapur,233691,Uttar Pradesh
193.0,Raichur,232456,Karnataka
194.0,Pali,229956,Rajasthan
195.0,Ramagundam,229644,Telangana
196.0,Haridwar,228832,Uttarakhand
197.0,Vijayanagaram,228025,Andhra Pradesh
198.0,Katihar,225982,Bihar
199.0,Nagercoil,224849,Tamil Nadu
200.0,Sri Ganganagar,224773,Rajasthan
201.0,Karawal Nagar,224666,Delhi
202.0,Mango,223805,Jharkhand
203.0,Thanjavur,222943,Tamil Nadu
204.0,Bulandshahr,222519,Uttar Pradesh
205.0,Uluberia,222240,West Bengal
206.0,Murwara,221883,Uttar Pradesh
207.0,Sambhal,220813,Uttar Pradesh
208.0,Singrauli,220257,Madhya Pradesh
209.0,Nadiad,218095,Gujarat
210.0,Secunderabad,217910,Telangana
211.0,Naihati,217900,West Bengal
212.0,Yamunanagar,216677,Haryana
213.0,Bidhan Nagar,215514,West Bengal
214.0,Pallavaram,215417,Tamil Nadu
215.0,Bidar,214373,Karnataka
216.0,Munger,213303,Bihar
217.0,Panchkula,211355,Haryana
218.0,Burhanpur,210886,Madhya Pradesh
219.0,Raurkela Industrial Township,210317,Odisha
220.0,Kharagpur,207604,West Bengal
221.0,Dindigul,207327,Tamil Nadu
222.0,Gandhinagar,206167,Gujarat
223.0,Hospet,206167,Karnataka
224.0,Nangloi Jat,205596,Delhi
225.0,English Bazar,205521,West Bengal
226.0,Ongole,204746,Andhra Pradesh
227.0,Deoghar,203123,Jharkhand
228.0,Chapra,202352,Bihar
229.0,Haldia,200827,West Bengal
230.0,Khandwa,200738,Madhya Pradesh
231.0,Nandyal,200516,Andhra Pradesh
232.0,Chittoor,189332,Andhra Pradesh
233.0,Morena,200482,Madhya Pradesh
234.0,Amroha,198471,Uttar Pradesh
235.0,Anand,198282,Gujarat
236.0,Bhind,197585,Madhya Pradesh
237.0,Bhalswa Jahangir Pur,197148,Delhi
238.0,Madhyamgram,196127,West Bengal
239.0,Bhiwani,196057,Haryana
240.0,Navi Mumbai,195373,Maharashtra
241.0,Baharampur,195223,West Bengal
242.0,Ambala,195153,Haryana
243.0,Morbi,194947,Gujarat
244.0,Fatehpur,193193,Uttar Pradesh
245.0,Rae Bareli,191316,Uttar Pradesh
246.0,Mahaboobnagar,190400,Telangana
247.0,Bhusawal,187421,Maharashtra
248.0,Orai,187137,Uttar Pradesh
249.0,Bahraich,186223,Uttar Pradesh
250.0,Vellore,185803,Tamil Nadu
251.0,Mahesana,184991,Gujarat
252.0,Sambalpur,184000,Orissa
253.0,Raiganj,183612,West Bengal
254.0,Sirsa,182534,Haryana
255.0,Danapur,182429,Bihar
256.0,Serampore,181842,West Bengal
257.0,Sultan Pur Majra,181554,Delhi
258.0,Guna,180935,Madhya Pradesh
259.0,Jaunpur,180362,Uttar Pradesh
260.0,Panvel,180020,Maharashtra
261.0,Shivpuri,179977,Madhya Pradesh
262.0,Surendranagar Dudhrej,177851,Gujarat
263.0,Unnao,177658,Uttar Pradesh
264.0,Hugli,177259,West Bengal
265.0,Alappuzha,174164,Kerala
266.0,Kottayam,172878,Kerala
267.0,Machilipatnam,169892,Andhra Pradesh
268.0,Shimla,169578,Himachal Pradesh
269.0,Adoni,166537,Andhra Pradesh
270.0,Udupi,165401,Karnataka
271.0,Tenali,164937,Andhra Pradesh
272.0,Mancherial,163600,Telangana
273.0,Saharsa,155175,Bihar
274.0,Hindupur,151835,Andhra Pradesh
275.0,Sasaram,147396,Bihar
276.0,Hajipur,147126,Bihar
277.0,Bhimavaram,142280,Andhra Pradesh
278.0,Kumbakonam,140056,Tamil Nadu
279.0,Dehri,137068,Bihar
280.0,Madanapalle,135669,Andhra Pradesh
281.0,Siwan,134458,Bihar
282.0,Bettiah,132896,Bihar
283.0,Guntakal,126270,Andhra Pradesh
284.0,Srikakulam,125939,Andhra Pradesh
285.0,Motihari,125183,Bihar
286.0,Dharmavaram,121874,Andhra Pradesh
287.0,Gudivada,118167,Andhra Pradesh
288.0,Phagwara,117966,Punjab
289.0,Narasaraopet,116250,Andhra Pradesh
